sample_wgts	HHID_79	nonmissing	LogWage	yearborn	black	AFQTStd	EarlyIQStd
126352	1383	0	6.561466	63	1	-.969938	
463269	1396	1	6.960335	63	0	-.221472	-.6895924
529923	1408	0	7.550914	62	0	.1263486	
133709	1416	0	6.561838	64	0	-.6425515	
423939	1420	0	6.773918	62	0	-.0745826	
423939	1425	0	6.788993	62	0	.5187775	
168470	1432	0	6.926596	63	1	-.3573175	
755335	1456	0	6.754987	63	0	-.5329641	
650568	1466	0	7.167447	63	0	-1.770412	
612120	1476	0	7.3243	63	0	-.385469	
650911	1501	0	7.541993	63	0	1.665155	
688868	1503	0	6.490576	64	0	1.346364	
657555	1506	0	7.594326	64	0	1.756978	
520550	1514	0	7.051298	62	0	-.1508147	
508604	1541	0	6.759225	62	0	-.9433792	
486558	1554	0	6.711986	62	0	.4363992	
615921	1564	0	6.943357	63	0	.9882776	
426571	1575	0	7.098854	62	0	-.9030865	
494823	1579	0	7.145921	62	0	-.8642864	
451699	1585	0	7.684643	62	0	-.0998905	
514897	1590	0	6.845674	63	0	-.4430034	
451699	1594	0	6.900959	62	0	-.2807746	
416379	1597	0	6.78807	62	0	.3829321	
416379	1601	0	7.389053	62	0	-.1252954	
502313	1601	0	7.176779	64	0	.226245	
495776	1611	0	7.025762	64	0	.9647194	
495776	1612	0	6.462271	64	0	.3769752	
474705	1626	1	7.411783	63	0	1.861067	1.094921
502387	1626	1	6.331345	64	0	-.2609067	.6132317
474705	1628	0	6.981113	63	0	.663766	
425910	1631	0	6.324359	62	0	2.104828	
485500	1631	0	7.569352	63	0	2.436729	
425910	1634	0	6.796072	62	0	-.1764662	
425910	1634	1	6.963161	62	0	-.2282403	-.5027466
425910	1637	0	6.975557	62	0	.1263486	
565665	1656	1	7.527977	63	0	.1856512	-.2878218
520566	1667	0	7.202833	64	0	.2514726	
581054	1670	0	7.758071	63	0	1.665155	
581054	1671	0	7.068853	63	0	.1856512	
581054	1675	0	7.505433	63	0	.3122748	
517811	1681	0	7.577697	62	0	.1263486	
153447	1716	0	7.518664	62	1	.0260098	
586807	1731	0	7.064343	63	0	.3897004	
136961	1753	0	7.615175	62	1	-.5617343	
569548	1761	0	7.301516	63	0	-.2480775	
499642	1761	0	6.274348	62	0	-.8268176	
547964	1764	0	6.663801	64	0	-.4545149	
134012	1772	0	6.299272	63	0	-.969938	
461863	1780	0	6.584211	62	0	.7899256	
526483	1784	0	6.349294	63	0	.8492281	
516558	1788	0	7.130615	64	0	.5794513	
535893	1792	0	7.214497	63	0	.9520025	
517672	1801	0	6.250881	64	0	.9052911	
517672	1804	0	6.823944	64	0	.2514726	
478289	1813	0	7.057741	62	0	-.7211145	
131379	1827	0	6.827267	62	0	-.0998905	
506265	1854	0	7.100261	63	0	.9520025	
523261	1866	0	7.02759	62	0	1.131398	
596471	1868	0	6.391525	63	0	-.6618119	
556706	1872	0	6.474051	63	0	-1.01601	
585501	1884	0	6.547209	63	0	-.3573175	
465121	1887	0	6.298844	62	0	-.1508147	
530197	1887	0	6.497299	63	0	-1.29469	
465121	1894	0	6.940989	62	0	-.3342417	
435094	1911	0	7.40415	62	0	.4909919	
429324	1914	0	7.543993	62	0	.4363992	
489391	1918	1	6.962512	63	0	.0351115	-.5306297
517930	1920	0	6.485884	64	0	.3017527	
489391	1924	0	7.406674	63	0	-.2749391	
401626	1931	0	6.622606	62	0	-.3888344	
484516	1951	0	7.576932	64	0	-.0880068	
401626	1955	0	6.647094	62	0	1.045537	
484516	1971	1	7.116963	64	0	.2009371	.3393146
518075	1975	0	6.794917	64	0	.7643695	
429444	1977	0	6.83213	62	0	-.4447716	
518075	1977	0	7.25825	64	0	-.5259899	
489529	1988	0	6.738634	63	0	-.3020818	
429444	1991	0	6.280778	62	0	-1.075312	
489529	1991	0	7.064929	63	0	-.8840766	
429444	2000	0	6.067508	62	0	-2.275269	
518075	2004	0	7.313221	64	0	1.193528	
429444	2006	0	6.752281	62	0	.7255685	
429444	2007	0	6.987072	62	0	.8927	
165759	2015	0	6.258155	64	0	-1.528887	
634025	2018	0	6.974012	64	0	-.5634587	
679973	2022	0	6.664233	64	0	-.6022589	
489529	2031	0	6.372929	63	0	-2.215966	
518075	2031	0	6.741973	64	0	-.684527	
489529	2033	0	7.296396	63	0	.210815	
429444	2038	0	7.774378	62	0	1.52687	
429444	2040	0	6.769519	62	0	.6044635	
489529	2040	0	6.251637	63	0	.2867555	
518075	2044	0	6.936611	64	0	-.1157925	
475946	2051	1	6.376988	64	0	-1.123885	-.2443806
117575	2059	0	6.441478	63	0	-1.17117	
124431	2059	0	6.546043	64	0	-.0605568	
394522	2067	0	7.203731	62	0	-.1508147	
449721	2068	0	7.457235	63	0	1.586172	
475946	2085	1	6.887766	64	0	.4020599	.320658
394522	2086	0	6.790641	62	0	-.9030865	
475946	2086	1	6.654032	64	0	-.7744848	-2.20923
394522	2091	0	6.592977	62	0	-1.829715	
475946	2091	1	6.040546	64	0	-1.053165	-1.259598
411675	2108	1	6.659057	62	0	.1012323	-.075939
449721	2110	0	7.631804	63	0	1.146815	
475946	2110	0	7.413595	64	0	.8763069	
394522	2113	0	7.497771	62	0	1.801765	
511679	2115	0	7.056921	63	0	-.843784	
439875	2135	0	7.403564	62	0	-.9853546	
441788	2136	0	6.819098	62	0	.4095375	
532966	2141	0	6.777028	64	0	-.684527	
572273	2148	0	6.375447	63	0	.7537267	
501420	2151	0	6.626333	63	0	.784871	
145340	2160	0	6.002859	63	0	-1.770412	
150227	2169	0	6.355706	62	1	.6339203	
500149	2172	0	7.253591	63	0	-.385469	
428864	2184	0	7.644372	62	0	.0510787	
517375	2187	0	7.51911	64	0	-.7284129	
112122	2189	0	7.195644	62	0	.6044635	
464425	2192	1	6.807532	63	0	-1.17117	-1.575574
407421	2201	0	7.41932	62	0	.8575	
464425	2207	0	7.054596	63	0	.3379263	
139497	2208	0	6.969439	62	1	-.7553425	
140391	2208	0	7.075662	63	1	-.8840766	
185399	2211	0	6.547041	64	1	-1.292947	
491507	2218	0	7.219018	64	0	.3017527	
407421	2223	0	7.484495	62	0	-.2282403	
510410	2233	0	7.32265	64	0	-.0065525	
423091	2235	0	7.180191	62	0	.1012323	
423091	2237	0	7.264863	62	0	1.33263	
423091	2239	0	7.913483	62	0	2.104828	
472388	2256	0	7.137414	62	0	-.1764662	
168470	2258	0	6.175985	63	1	-2.215966	
526045	2261	0	6.39693	64	0	-1.528887	
167396	2262	0	6.460824	62	1	.0009251	
222479	2266	0	6.084695	64	1	-1.202867	
222479	2273	0	6.857655	64	1	-1.39878	
497060	2277	1	7.233255	63	0	1.33691	.5895348
526045	2290	0	7.645704	64	0	1.827697	
427161	2304	0	7.098952	63	0	-1.640305	
427161	2322	0	6.996713	63	0	-.5024317	
389721	2326	0	6.052089	62	0	.1767401	
389721	2330	0	7.270888	62	0	.1263486	
389721	2331	0	7.493929	62	0	2.377427	
374732	2343	0	7.085636	62	0	-1.075312	
427161	2345	0	6.071442	63	0	-.3573175	
132095	2352	0	6.099071	63	1	-2.215966	
132095	2353	0	6.797712	63	1	-1.064605	
131254	2359	0	6.675545	62	1	-2.00267	
374732	2365	0	7.152034	62	0	-.5617343	
141895	2372	0	6.87691	64	0	1.38834	
568402	2376	0	6.929527	64	0	.6837597	
537082	2377	0	7.003315	63	0	-.8049838	
568402	2377	0	6.992506	64	0	.2514726	
449894	2392	0	7.4466	62	0	-.1764662	
395438	2419	0	6.960434	62	0	-1.075312	
395438	2422	1	6.968733	62	0	.4635419	-.4291454
450765	2425	0	7.260035	63	0	-.3020818	
389031	2428	0	7.080027	62	0	1.52687	
389031	2431	0	7.166383	62	0	.7899256	
390445	2436	1	6.822885	62	0	.4635419	.29425
445073	2436	0	6.665137	63	0	.0853124	
425723	2463	0	7.26586	63	0	1.755235	
373470	2466	0	6.713879	62	0	-1.029241	
425723	2466	0	7.332942	63	0	.0853124	
373470	2468	0	8.304651	62	0	1.17747	
373470	2470	0	7.627282	62	0	.2786237	
373470	2474	0	7.127144	62	0	.4363992	
450548	2474	0	6.779588	64	0	-1.123885	
450548	2477	0	7.06668	64	0	.5794513	
373470	2478	0	6.640562	62	0	.3303978	
473968	2489	0	7.34937	62	0	.4095375	
540282	2493	0	6.912725	63	0	.3122748	
571788	2497	0	7.212476	64	0	.8196052	
503591	2502	0	7.593197	62	0	1.33263	
486120	2506	1	7.262229	62	0	.1263486	-.3017321
586448	2511	1	6.790426	64	0	-.684527	-.7677077
486120	2516	1	7.118877	62	0	.4095375	.1386141
554135	2516	1	6.937798	63	0	.4422347	.1827563
554135	2520	1	7.463861	63	0	1.285368	.7309699
395320	2526	0	6.390304	62	0	-.0241911	
476908	2526	0	6.812285	64	0	-1.053165	
391327	2537	0	6.688293	62	0	-.5617343	
472091	2546	0	6.480386	64	0	-.5634587	
166859	2547	1	7.130742	64	1	-.2014784	-1.00717
474989	2556	0	7.664143	64	0	1.432226	
393730	2562	0	6.659731	62	0	.8232719	
474989	2563	0	7.472291	64	0	.9052911	
476558	2570	0	7.069541	63	0	.9168025	
418065	2572	0	7.516688	62	0	.4635419	
397162	2576	0	6.338195	62	0	.928975	
397162	2579	0	6.608348	62	0	1.695932	
393657	2580	0	6.666584	62	0	-.1508147	
474902	2582	0	6.902968	64	0	-1.202867	
474902	2588	0	7.697165	64	0	1.692661	
102918	2593	0	7.554851	62	0	-1.699607	
393657	2594	1	6.98883	62	0	-.2022684	-.2474194
393657	2597	1	6.988421	62	0	-.3073801	-.7216664
474902	2597	0	6.477755	64	0	-1.053165	
474902	2602	0	7.103424	64	0	.4775677	
474902	2603	0	6.846908	64	0	.7103651	
415466	2611	1	6.933967	62	0	.5469291	-.7202514
123817	2616	0	6.228467	63	0	-1.770412	
448735	2630	0	7.65066	63	0	.5228444	
474902	2631	0	6.723053	64	0	-.0334141	
393657	2633	1	7.563671	62	0	2.377427	1.447588
406126	2642	0	6.939831	62	0	1.17747	
166859	2713	0	6.71253	64	1	-.7744848	
498721	2724	0	7.175561	63	0	.8492281	
527804	2725	0	7.033393	64	0	1.633458	
419280	2732	0	6.764754	62	0	-.1508147	
612327	2754	0	6.787892	64	0	.1243614	
507571	2755	0	7.2514	62	0	.2786237	
534394	2760	0	6.742223	64	0	-.0065525	
442972	2765	0	7.015611	62	0	-.2022684	
442972	2766	0	6.779094	62	0	.4635419	
534394	2766	0	6.709197	64	0	-1.053165	
143761	2770	0	7.284631	63	1	-1.01601	
500995	2780	0	6.457232	64	0	-1.528887	
415286	2783	0	6.556203	62	0	-.1252954	
500995	2785	0	6.896472	64	0	-1.974442	
473390	2787	0	6.913402	63	0	.7537267	
133917	2789	1	7.273555	62	1	-.9433792	-1.667068
133917	2792	0	6.555276	62	1	-1.593775	
415286	2801	0	7.327813	62	0	1.045537	
473390	2801	0	7.367084	63	0	.2360427	
145077	2805	0	7.054708	62	1	-1.075312	
134077	2807	1	6.774764	63	0	-.8049838	-1.443641
473390	2809	0	6.786874	63	0	-.767515	
500995	2813	1	6.691961	64	0	.020053	-.7137566
415286	2820	0	7.091565	62	0	-.8268176	
542425	2830	0	6.907755	63	0	.2360427	
572973	2832	0	7.496934	63	0	-.1950995	
572973	2837	0	6.904447	63	0	-.5329641	
550625	2845	1	6.144691	62	0	2.377427	1.911577
627664	2850	1	7.723453	63	0	1.861067	1.502156
461207	2854	0	6.89312	62	0	.5187775	
525735	2856	0	6.573698	63	0	.9520025	
525735	2859	0	7.052047	63	0	.8825745	
525735	2861	0	7.511744	63	0	2.436729	
428264	2864	0	7.113807	62	0	.0510787	
428264	2872	0	7.026915	62	0	2.377427	
484501	2879	0	7.00813	62	0	-.4733218	
552289	2882	0	7.806683	63	0	-.3020818	
828434	2887	1	7.933893	63	0	.0099476	-.2558097
803680	2894	1	6.97801	64	0	.3017527	.0338563
590014	2901	0	7.130014	62	0	1.391834	
590014	2905	0	7.61025	62	0	1.131398	
590014	2907	0	7.648454	62	0	1.087512	
660598	2918	0	7.53923	64	0	-.1157925	
396176	2923	1	7.208051	62	0	.1515125	.2985845
451605	2923	0	7.230196	63	0	.0853124	
398205	2937	1	7.54572	62	0	.4095375	-.3876579
480388	2941	0	7.210401	64	0	1.692661	
128940	2944	1	6.69223	62	1	.0260098	.4615718
387550	2945	0	7.543506	62	0	.3303978	
441772	2948	0	7.216377	63	0	.7537267	
387550	2953	0	7.128002	62	0	-.2282403	
467534	2954	0	7.633874	64	0	-1.974442	
387550	2955	0	7.478061	62	0	.1767401	
441772	2955	0	7.182737	63	0	.9168025	
467534	2955	0	7.356881	64	0	1.193528	
387550	2963	0	7.24772	62	0	.5187775	
391328	2972	1	7.468651	62	0	-.502306	-.1092898
446079	2974	0	6.934106	63	0	-.6960399	
391328	2975	0	6.396823	62	0	1.45615	
414217	2976	0	7.267464	63	0	.2867555	
363376	2977	0	7.403483	62	0	-.502306	
386087	2981	0	6.624193	62	0	-.049355	
484501	2982	0	8.284286	62	0	.9664438	
584495	2982	0	7.450706	64	0	1.229803	
584495	2988	0	7.307504	64	0	2.102592	
499896	3017	0	6.836458	64	0	.6837597	
579048	3024	0	7.355117	63	0	-.6284655	
118138	3054	0	6.852086	63	0	-.926052	
396410	3056	0	6.802007	62	0	1.605852	
215633	3069	0	6.587215	64	1	-1.292947	
215633	3072	0	6.071616	64	1	-.6022589	
657557	3079	0	6.389896	64	0	-.0334141	
657557	3085	0	7.549709	64	0	1.346364	
