sample_wgts	HHID_79	AvgHourlyWages_90to93	LogWage	yearborn	black	AFQT_Adj1
222479	2266	439.0859	6.084695	64	1	6
222479	2273	951.1335	6.857655	64	1	4
497060	2277	1384.722	7.233255	63	0	89
526045	2290	2091.641	7.645704	64	0	93
427161	2304	1210.697	7.098952	63	0	4
427161	2322	1093.034	6.996713	63	0	27
389721	2326	425	6.052089	62	0	55
389721	2330	1437.826	7.270888	62	0	53
389721	2331	1797.099	7.493929	62	0	99
374732	2343	1194.683	7.085636	62	0	13
427161	2345	433.305	6.071442	63	0	32
132095	2352	445.4437	6.099071	63	1	1
132095	2353	895.7952	6.797712	63	1	12
131254	2359	792.7795	6.675545	62	1	2
374732	2365	1276.7	7.152034	62	0	27
141895	2372	969.6254	6.87691	64	0	85
568402	2376	1022.01	6.929527	64	0	63
537082	2377	1100.275	7.003315	63	0	18
568402	2377	1088.446	6.992506	64	0	46
449894	2392	1714.026	7.4466	62	0	41
395438	2419	1054.091	6.960434	62	0	13
395438	2422	1062.875	6.968733	62	0	66
450765	2425	1422.306	7.260035	63	0	34
389031	2428	1188	7.080027	62	0	93
389031	2431	1295.151	7.166383	62	0	77
390445	2436	918.6316	6.822885	62	0	66
445073	2436	784.571	6.665137	63	0	49
425723	2463	1430.615	7.26586	63	0	95
373470	2466	823.7596	6.713879	62	0	14
425723	2466	1529.875	7.332942	63	0	49
373470	2468	4042.633	8.304651	62	0	87
373470	2470	2053.461	7.627282	62	0	59
373470	2474	1245.316	7.127144	62	0	65
450548	2474	879.7063	6.779588	64	0	7
450548	2477	1172.25	7.06668	64	0	59
373470	2478	765.5247	6.640562	62	0	61
473968	2489	1555.215	7.34937	62	0	64
540282	2493	1004.982	6.912725	63	0	58
571788	2497	1356.246	7.212476	64	0	68
503591	2502	1984.649	7.593197	62	0	90
486120	2506	1425.43	7.262229	62	0	53
586448	2511	889.2922	6.790426	64	0	15
486120	2516	1235.062	7.118877	62	0	64
554135	2516	1030.498	6.937798	63	0	63
554135	2520	1743.868	7.463861	63	0	88
395320	2526	596.0375	6.390304	62	0	47
476908	2526	908.9453	6.812285	64	0	8
391327	2537	802.95	6.688293	62	0	27
472091	2546	652.2229	6.480386	64	0	18
166859	2547	1249.804	7.130742	64	1	29
474989	2556	2130.566	7.664143	64	0	86
393730	2562	780.3411	6.659731	62	0	78
474989	2563	1758.631	7.472291	64	0	71
476558	2570	1175.608	7.069541	63	0	79
418065	2572	1838.468	7.516688	62	0	66
397162	2576	565.7742	6.338195	62	0	81
397162	2579	741.2577	6.608348	62	0	95
393657	2580	785.707	6.666584	62	0	42
474902	2582	995.2247	6.902968	64	0	6
474902	2588	2202.097	7.697165	64	0	91
102918	2593	1909.985	7.554851	62	0	4
393657	2594	1084.452	6.98883	62	0	40
393657	2597	1084.008	6.988421	62	0	36
474902	2597	650.5086	6.477755	64	0	8
474902	2602	1216.124	7.103424	64	0	55
474902	2603	940.9671	6.846908	64	0	64
415466	2611	1026.559	6.933967	62	0	69
123817	2616	506.9775	6.228467	63	0	3
448735	2630	2102.031	7.65066	63	0	66
474902	2631	831.3515	6.723053	64	0	35
393657	2633	1926.907	7.563671	62	0	99
406126	2642	1032.595	6.939831	62	0	87
166859	2713	822.6489	6.71253	64	1	13
498721	2724	1307.094	7.175561	63	0	77
527804	2725	1133.871	7.033393	64	0	90
419280	2732	866.7527	6.764754	62	0	42
612327	2754	887.0421	6.787892	64	0	41
507571	2755	1410.078	7.2514	62	0	59
534394	2760	847.4424	6.742223	64	0	36
442972	2765	1113.886	7.015611	62	0	40
442972	2766	879.2719	6.779094	62	0	66
534394	2766	819.912	6.709197	64	0	8
143761	2770	1457.724	7.284631	63	1	13
500995	2780	637.2943	6.457232	64	0	3
415286	2783	703.5953	6.556203	62	0	43
500995	2785	988.7797	6.896472	64	0	1
473390	2787	1005.662	6.913402	63	0	74
133917	2789	1441.667	7.273555	62	1	16
133917	2792	702.9434	6.555276	62	1	5
415286	2801	1522.049	7.327813	62	0	84
473390	2801	1583.011	7.367084	63	0	55
145077	2805	1158.299	7.054708	62	1	13
134077	2807	875.4724	6.774764	63	0	18
473390	2809	886.1388	6.786874	63	0	19
500995	2813	805.9009	6.691961	64	0	37
415286	2820	1201.787	7.091565	62	0	19
542425	2830	1000	6.907755	63	0	55
572973	2832	1802.509	7.496934	63	0	38
572973	2837	996.6968	6.904447	63	0	26
550625	2845	466.2353	6.144691	62	0	99
627664	2850	2260.752	7.723453	63	0	96
461207	2854	985.4711	6.89312	62	0	68
525735	2856	716.0126	6.573698	63	0	80
525735	2859	1155.221	7.052047	63	0	78
525735	2861	1829.4	7.511744	63	0	99
428264	2864	1228.816	7.113807	62	0	50
428264	2872	1126.549	7.026915	62	0	99
484501	2879	1105.585	7.00813	62	0	30
552289	2882	2456.966	7.806683	63	0	34
828434	2887	2790.269	7.933893	63	0	46
803680	2894	1072.781	6.97801	64	0	48
590014	2901	1248.895	7.130014	62	0	91
590014	2905	2018.782	7.61025	62	0	86
590014	2907	2097.4	7.648454	62	0	85
660598	2918	1880.381	7.53923	64	0	32
396176	2923	1350.258	7.208051	62	0	54
451605	2923	1380.493	7.230196	63	0	49
398205	2937	1892.625	7.54572	62	0	64
480388	2941	1353.435	7.210401	64	0	91
128940	2944	806.1178	6.69223	62	1	49
387550	2945	1888.439	7.543506	62	0	61
441772	2948	1361.547	7.216377	63	0	74
387550	2953	1246.384	7.128002	62	0	39
467534	2954	2067.043	7.633874	64	0	1
387550	2955	1768.808	7.478061	62	0	55
441772	2955	1316.507	7.182737	63	0	79
467534	2955	1566.941	7.356881	64	0	80
387550	2963	1404.898	7.24772	62	0	68
391328	2972	1752.242	7.468651	62	0	29
446079	2974	1026.701	6.934106	63	0	21
391328	2975	599.936	6.396823	62	0	92
414217	2976	1432.912	7.267464	63	0	57
363376	2977	1641.693	7.403483	62	0	29
386087	2981	753.0965	6.624193	62	0	46
484501	2982	3961.133	8.284286	62	0	82
584495	2982	1721.078	7.450706	64	0	81
584495	2988	1491.45	7.307504	64	0	96
499896	3017	931.1847	6.836458	64	0	63
579048	3024	1564.18	7.355117	63	0	23
118138	3054	945.8516	6.852086	63	0	15
396410	3056	899.6506	6.802007	62	0	94
215633	3069	725.757	6.587215	64	1	5
215633	3072	433.3804	6.071616	64	1	17
657557	3079	595.7944	6.389896	64	0	35
657557	3085	1900.19	7.549709	64	0	84
572317	3096	1569.403	7.35845	62	0	30
169823	3103	1118.475	7.019721	63	0	1
179726	3103	581.3963	6.365433	64	0	7
690434	3126	829.189	6.720448	64	0	72
462725	3139	1949.299	7.575225	64	0	77
383564	3141	1848.812	7.522298	62	0	89
462725	3142	1678.275	7.425522	64	0	99
414217	3149	868.3119	6.766551	63	0	32
438371	3159	1194.713	7.085661	64	0	35
363376	3171	7331.416	8.899924	62	0	99
485448	3202	1039.281	6.946284	62	0	28
467197	3210	1215.943	7.103275	62	0	51
532564	3213	832.0896	6.72394	63	0	59
532564	3213	954.5278	6.861217	63	0	70
445961	3218	907.1368	6.810293	62	0	82
445961	3228	1220.485	7.107004	62	0	66
538001	3228	1326.184	7.190061	64	0	65
465994	3230	1394.926	7.240596	63	0	8
464543	3246	1216.263	7.103538	62	0	35
529538	3250	885.1832	6.785795	63	0	81
534758	3256	841.2166	6.734849	62	0	96
127982	3271	1056.312	6.962539	63	0	11
489529	3284	1016.05	6.923678	63	0	42
140318	3310	689.0474	6.53531	62	1	18
165773	3325	886.6291	6.787427	63	1	3
460133	3329	567.2234	6.340754	62	0	69
555097	3329	1207.801	7.096557	64	0	16
161450	3334	674.8561	6.5145	63	1	24
414217	3345	771.2246	6.64798	63	0	13
363376	3353	555.4235	6.319731	62	0	36
438371	3357	1016.66	6.924278	64	0	42
414217	3361	2071.891	7.636217	63	0	64
431509	3372	1262.335	7.140718	62	0	44
491882	3378	1848.534	7.522148	63	0	80
431509	3382	2348.231	7.761418	62	0	70
491882	3384	1278.482	7.153429	63	0	73
164374	3387	1480.898	7.300404	63	1	96
166252	3395	1127.539	7.027792	62	0	63
476931	3398	1724.736	7.452829	62	0	42
476931	3404	1847.389	7.521529	62	0	87
575362	3404	1861.557	7.529169	64	0	84
511678	3416	765.8953	6.641046	63	0	33
538282	3423	1501.343	7.314116	64	0	73
483253	3428	2246.717	7.717226	63	0	99
493168	3453	967.4843	6.874699	64	0	22
493168	3459	931.5089	6.836806	64	0	16
408798	3461	1764.612	7.475686	62	0	42
465994	3461	1078.756	6.983564	63	0	47
493168	3464	1420.682	7.258893	64	0	73
408798	3470	1186.181	7.078494	62	0	21
408798	3472	3120.866	8.045866	62	0	35
408798	3472	2566.813	7.85042	62	0	16
493168	3478	1839.743	7.517381	64	0	29
578797	3482	946.3702	6.852634	64	0	7
479779	3489	1278.699	7.153599	62	0	46
507254	3492	1507.295	7.318072	63	0	54
493769	3505	1631.724	7.397392	62	0	69
552288	3516	1157.728	7.054215	63	0	22
