SMSA81,SCSA81,PlaceName81,MSAPMA99,MSACMA99,PMSA99,NECMA99,PlaceName99,MSAPMA99m,MSACMA99m,PMSA99m,NECMA99m,PlaceName_MSA
2160,35,"Detroit, MI SMSA",2160,2162,2160,,"Detroit, MI PMSA",2160,2162,2160,,"Detroit, MI PMSA"
,,,2180,2180,,,"Dothan, AL MSA",2180,2180,,,"Dothan, AL MSA"
,,,2190,2190,,,"Dover, DE MSA",2190,2190,,,"Dover, DE MSA"
2200,,"Dubuque, IA SMSA",2200,2200,,,"Dubuque, IA MSA",2200,2200,,,"Dubuque, IA MSA"
2240,,"Duluth-Superior, MN-WI SMSA",2240,2240,,,"Duluth-Superior, MN-WI MSA",2240,2240,,,"Duluth-Superior, MN-WI MSA"
6460,,"Poughkeepsie, NY SMSA",2281,5602,2281,,"Dutchess County, NY PMSA",2281,5602,2281,,"Dutchess County, NY PMSA"
2290,,"Eau Claire, WI SMSA",2290,2290,,,"Eau Claire, WI MSA",2290,2290,,,"Eau Claire, WI MSA"
2320,,"El Paso, TX SMSA",2320,2320,,,"El Paso, TX MSA",2320,2320,,,"El Paso, TX MSA"
2330,,"Elkhart, IN SMSA",2330,2330,,,"Elkhart-Goshen, IN MSA",2330,2330,,,"Elkhart-Goshen, IN MSA"
2335,,"Elmira, NY SMSA",2335,2335,,,"Elmira, NY MSA",2335,2335,,,"Elmira, NY MSA"
2340,,"Enid, OK SMSA",2340,2340,,,"Enid, OK MSA",2340,2340,,,"Enid, OK MSA"
2360,,"Erie, PA SMSA",2360,2360,,,"Erie, PA MSA",2360,2360,,,"Erie, PA MSA"
2400,,"Eugene-Springfield, OR SMSA",2400,2400,,,"Eugene-Springfield, OR MSA",2400,2400,,,"Eugene-Springfield, OR MSA"
2440,,"Evansville, IN-KY SMSA",2440,2440,,,"Evansville-Henderson, IN-KY MSA",2440,2440,,,"Evansville-Henderson, IN-KY MSA"
2520,,"Fargo-Moorhead, ND-MN SMSA",2520,2520,,,"Fargo-Moorhead, ND-MN MSA",2520,2520,,,"Fargo-Moorhead, ND-MN MSA"
2560,,"Fayetteville, NC SMSA",2560,2560,,,"Fayetteville, NC MSA",2560,2560,,,"Fayetteville, NC MSA"
2580,,"Fayetteville-Springdale, AR SMSA",2580,2580,,,"Fayetteville-Springdale-Rogers, AR MSA",2580,2580,,,"Fayetteville-Springdale-Rogers, AR MSA"
2600,,"Fitchburg-Leominster, MA SMSA",2600,1122,2600,,"Fitchburg-Leominster, MA PMSA",2600,1122,2600,,"Fitchburg-Leominster, MA PMSA"
,,,2620,2620,,,"Flagstaff, AZ-UT MSA",2620,2620,,,"Flagstaff, AZ-UT MSA"
2640,,"Flint, MI SMSA",2640,2162,2640,,"Flint, MI PMSA",2640,2162,2640,,"Flint, MI PMSA"
2650,,"Florence, AL SMSA",2650,2650,,,"Florence, AL MSA",2650,2650,,,"Florence, AL MSA"
2655,,"Florence, SC SMSA",2655,2655,,,"Florence, SC MSA",2655,2655,,,"Florence, SC MSA"
2670,,"Fort Collins, CO SMSA",2670,2670,,,"Fort Collins-Loveland, CO MSA",2670,2670,,,"Fort Collins-Loveland, CO MSA"
2680,56,"Fort Lauderdale-Hollywood, FL SMSA",2680,4992,2680,,"Fort Lauderdale, FL PMSA",2680,4992,2680,,"Fort Lauderdale, FL PMSA"
2700,,"Fort Myers-Cape Coral, FL SMSA",2700,2700,,,"Fort Myers-Cape Coral, FL MSA",2700,2700,,,"Fort Myers-Cape Coral, FL MSA"
,,,2710,2710,,,"Fort Pierce-Port St. Lucie, FL MSA",2710,2710,,,"Fort Pierce-Port St. Lucie, FL MSA"
2720,,"Fort Smith, AR-OK SMSA",2720,2720,,,"Fort Smith, AR-OK MSA",2720,2720,,,"Fort Smith, AR-OK MSA"
